"*Day Shift: Vỏ Bọc Thợ Săn|https://www.fshare.vn/file/HK6TFB38KWJR||https://img400.imagetwist.com/th/50532/qjajvxoqxbg7.jpg|Một thợ săn ma cà rồng ở Los Angeles có một tuần để kiếm tiền đóng học phí và niềng răng cho con mình. Thời buổi này, việc cố gắng kiếm sống lại có thể khiến anh toi đời.",Day Shift: Vỏ Bọc Thợ Săn,https://www.fshare.vn/file/HK6TFB38KWJR,https://img400.imagetwist.com/th/50532/qjajvxoqxbg7.jpg,"Một thợ săn ma cà rồng ở Los Angeles có một tuần để kiếm tiền đóng học phí và niềng răng cho con mình. Thời buổi này, việc cố gắng kiếm sống lại có thể khiến anh toi đời."
*13 Phút Sống Còn|https://www.fshare.vn/file/KL14564UMA96||https://m.media-amazon.com/images/M/MV5BZTBjNjdkNzItYjZjOC00MjhkLTk4ZTQtZTcyM2FmMGJlMDViXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg|,13 Phút Sống Còn,https://www.fshare.vn/file/KL14564UMA96,https://m.media-amazon.com/images/M/MV5BZTBjNjdkNzItYjZjOC00MjhkLTk4ZTQtZTcyM2FmMGJlMDViXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,
"*Chuyến phiêu lưu của Pil|https://www.fshare.vn/file/ZKL133X4J19W||https://www.cgv.vn/media/catalog/product/cache/1/image/1800x/71252117777b696995f01934522c402d/p/i/pilsadventure-poster_1_.jpg|Ngày xửa ngày xưa, có một cô bé mồ côi phải trở thành nàng công chúa bất đắc dĩ không giống ai. Một ngày nọ, hoàng tử bị một tên quan độc ác đầu độc và khiến Pil cùng những người bạn phải đứng lên bảo vệ mình và cả vương quốc.",Chuyến phiêu lưu của Pil,https://www.fshare.vn/file/ZKL133X4J19W,https://www.cgv.vn/media/catalog/product/cache/1/image/1800x/71252117777b696995f01934522c402d/p/i/pilsadventure-poster_1_.jpg,"Ngày xửa ngày xưa, có một cô bé mồ côi phải trở thành nàng công chúa bất đắc dĩ không giống ai. Một ngày nọ, hoàng tử bị một tên quan độc ác đầu độc và khiến Pil cùng những người bạn phải đứng lên bảo vệ mình và cả vương quốc."
"*Malnazidos: Thung lũng người chết|https://www.fshare.vn/file/WSZDKG9M5IWQ||https://img69.imagetwist.com/th/50274/vao6sy4d7ur5.jpg|Trong cuộc Nội chiến Tây Ban Nha, một nhóm nhỏ kẻ thù không đội trời chung phải bắt tay hợp tác khi chạm trán thây ma ăn thịt được tạo ra từ thí nghiệm của Đức Quốc xã.",Malnazidos: Thung lũng người chết,https://www.fshare.vn/file/WSZDKG9M5IWQ,https://img69.imagetwist.com/th/50274/vao6sy4d7ur5.jpg,"Trong cuộc Nội chiến Tây Ban Nha, một nhóm nhỏ kẻ thù không đội trời chung phải bắt tay hợp tác khi chạm trán thây ma ăn thịt được tạo ra từ thí nghiệm của Đức Quốc xã."
"*Tuyết Sơn Phi Hồ: Kho Báu Phương Bắc|https://www.fshare.vn/file/P1O343RD9U9E||https://i.ibb.co/JFSvJGw/913d70b1766f41b9b4b32d00162a1543.jpg|Câu chuyện trong tác phẩm diễn ra ở 10 năm sau, Hồ Phỉ - con trai Hồ Nhất Đao, lúc này lấy biệt hiệu là Quy Úc, đang truy tìm tám đại ác nhân. Anh lợi dụng việc kho báu tái xuất giang hồ, ác nhân tụ hội tranh giành để báo thù cho cha - người bị giết chết một cách bí ẩn 10 năm về trước.",Tuyết Sơn Phi Hồ: Kho Báu Phương Bắc,https://www.fshare.vn/file/P1O343RD9U9E,https://i.ibb.co/JFSvJGw/913d70b1766f41b9b4b32d00162a1543.jpg,"Câu chuyện trong tác phẩm diễn ra ở 10 năm sau, Hồ Phỉ - con trai Hồ Nhất Đao, lúc này lấy biệt hiệu là Quy Úc, đang truy tìm tám đại ác nhân. Anh lợi dụng việc kho báu tái xuất giang hồ, ác nhân tụ hội tranh giành để báo thù cho cha - người bị giết chết một cách bí ẩn 10 năm về trước."
"*Bỉ Ngạn|https://www.fshare.vn/file/ZPAZU1B6PP5C||https://i.ibb.co/wSmJVMk/v-168677628-m-601-vi-780-1080.jpg|Trong vai một sứ giả dẫn độ từ thế giới ngầm đã cắt đứt tình yêu, Mạn Thù bất ngờ gặp Sa Hoa, người có thể mang lại hơi ấm tình thương cho cô ấy. Cả hai được định sẵn để ở bên nhau, nhưng phải đối mặt với sự cản trở từ Mãnh bà, chấp nhận những dằn vặt và thử thách của một cuộc sống cuối cùng cả hai đã vượt qua tất cả, thành công trong việc bảo vệ thế giới ngầm và Sa Hoa trở thành sứ giả dẫn đường bảo vệ Mạn Thù.",Bỉ Ngạn,https://www.fshare.vn/file/ZPAZU1B6PP5C,https://i.ibb.co/wSmJVMk/v-168677628-m-601-vi-780-1080.jpg,"Trong vai một sứ giả dẫn độ từ thế giới ngầm đã cắt đứt tình yêu, Mạn Thù bất ngờ gặp Sa Hoa, người có thể mang lại hơi ấm tình thương cho cô ấy. Cả hai được định sẵn để ở bên nhau, nhưng phải đối mặt với sự cản trở từ Mãnh bà, chấp nhận những dằn vặt và thử thách của một cuộc sống cuối cùng cả hai đã vượt qua tất cả, thành công trong việc bảo vệ thế giới ngầm và Sa Hoa trở thành sứ giả dẫn đường bảo vệ Mạn Thù."
"*Đội Gỡ Bom|https://www.fshare.vn/file/ZKJS1H4UMCIA||https://i.ibb.co/nftVp6M/4ea1556f850e4c60b026d8ced6324e74.jpg|Những hành động anh hùng của Đơn vị Xử lý Vật liệu Chất nổ (EOD), người vừa chạy đua với thời gian vừa cạnh tranh với những kẻ buôn bán ma túy ở biên giới.",Đội Gỡ Bom,https://www.fshare.vn/file/ZKJS1H4UMCIA,https://i.ibb.co/nftVp6M/4ea1556f850e4c60b026d8ced6324e74.jpg,"Những hành động anh hùng của Đơn vị Xử lý Vật liệu Chất nổ (EOD), người vừa chạy đua với thời gian vừa cạnh tranh với những kẻ buôn bán ma túy ở biên giới."
"*Lính Bắn Tỉa: Quạ Trắng|https://www.fshare.vn/file/8RUOLODKF58C||https://img400.imagetwist.com/th/50175/1ubsf6bpcq9c.jpg|Sau khi hứng chịu thảm kịch dưới bàn tay của những người lính xâm lược ở Donbas, một giáo viên vật lý người Ukraine tìm cách trả thù. Anh ta đặt mục tiêu vào một tay súng bắn tỉa ưu tú của Nga, người mà việc loại bỏ có thể thay đổi cục diện của cuộc xung đột.",Lính Bắn Tỉa: Quạ Trắng,https://www.fshare.vn/file/8RUOLODKF58C,https://img400.imagetwist.com/th/50175/1ubsf6bpcq9c.jpg,"Sau khi hứng chịu thảm kịch dưới bàn tay của những người lính xâm lược ở Donbas, một giáo viên vật lý người Ukraine tìm cách trả thù. Anh ta đặt mục tiêu vào một tay súng bắn tỉa ưu tú của Nga, người mà việc loại bỏ có thể thay đổi cục diện của cuộc xung đột."
"*Rượt đuổi Seoul|https://www.fshare.vn/file/UBPCCCH2MPDE||https://img401.imagetwist.com/th/50839/d67p41u3k0vv.jpg|Trong những ngày trước Thế vận hội Seoul năm 1988, một nhóm tay đua và thợ sửa xe đủ thành phần bí mật triệt hạ một đường dây rửa tiền khổng lồ.",Rượt đuổi Seoul,https://www.fshare.vn/file/UBPCCCH2MPDE,https://img401.imagetwist.com/th/50839/d67p41u3k0vv.jpg,"Trong những ngày trước Thế vận hội Seoul năm 1988, một nhóm tay đua và thợ sửa xe đủ thành phần bí mật triệt hạ một đường dây rửa tiền khổng lồ."
"*Cuộc Săn Lùng|https://www.fshare.vn/file/GUL815D8OH4T||https://img350.imagetwist.com/th/45936/20ek0a6k7rbn.jpg|Phim lấy bối cảnh vào năm 1945, Một máy bay chở hàng quân sự của Mỹ mất kiểm soát và lao thẳng vào phía sau phòng tuyến của kẻ thù ở giữa khu rừng đen của quân Đức. Ngay lập tức Thiếu tá Johnson cử một đội gồm những người lính dũng cảm nhất của mình thực hiện nhiệm vụ giải cứu để lấy tài liệu tối mật mà chiếc máy bay đang mang theo. Được dẫn dắt bởi Sergeant Brewer, Walsh và những người lính tiến sâu vào khu rừng gần nơi xảy ra vụ tai nạn. Họ sớm phát hiện ra những người lính Đức Quốc xã bị treo cổ và những xác chết khác mang những biểu tượng ma thuật, cổ xưa. Đột nhiên la bàn của họ bị hỏng, nhận thức của họ bị xoay chuyển và lạc khỏi nhóm dẫn đến nỗi kinh hoàng sâu sắc khi họ bị tấn công bởi một thế lực siêu nhiên, mạnh mẽ. Với sự tính táo cuối cùng của mình, họ phải nỗ lực chiến đấu hết mình.",Cuộc Săn Lùng,https://www.fshare.vn/file/GUL815D8OH4T,https://img350.imagetwist.com/th/45936/20ek0a6k7rbn.jpg,"Phim lấy bối cảnh vào năm 1945, Một máy bay chở hàng quân sự của Mỹ mất kiểm soát và lao thẳng vào phía sau phòng tuyến của kẻ thù ở giữa khu rừng đen của quân Đức. Ngay lập tức Thiếu tá Johnson cử một đội gồm những người lính dũng cảm nhất của mình thực hiện nhiệm vụ giải cứu để lấy tài liệu tối mật mà chiếc máy bay đang mang theo. Được dẫn dắt bởi Sergeant Brewer, Walsh và những người lính tiến sâu vào khu rừng gần nơi xảy ra vụ tai nạn. Họ sớm phát hiện ra những người lính Đức Quốc xã bị treo cổ và những xác chết khác mang những biểu tượng ma thuật, cổ xưa. Đột nhiên la bàn của họ bị hỏng, nhận thức của họ bị xoay chuyển và lạc khỏi nhóm dẫn đến nỗi kinh hoàng sâu sắc khi họ bị tấn công bởi một thế lực siêu nhiên, mạnh mẽ. Với sự tính táo cuối cùng của mình, họ phải nỗ lực chiến đấu hết mình."
